time,a1_FR,a2_FR,a1_FL,a2_FL,a1_RR,a2_RR,a1_RL,a2_RL
4.69,0.5818650400393819,0.3791829741500792,-0.5818650400393842,-0.579182974150081,-0.5818650400393842,-0.579182974150081,0.5818650400393819,0.3791829741500792
4.7,0.4996174644486038,0.31144967660473244,-0.4996174644486062,-0.5114496766047345,-0.4996174644486062,-0.5114496766047345,0.4996174644486038,0.31144967660473244
4.71,0.4094906229864602,0.23722757187120255,-0.40949062298645766,-0.4372275718712004,-0.40949062298645766,-0.4372275718712004,0.4094906229864602,0.23722757187120255
4.72,0.3129058697819792,0.157687186879277,-0.31290586978198215,-0.35768718687927936,-0.31290586978198215,-0.35768718687927936,0.3129058697819792,0.157687186879277
4.73,0.21138640409012438,0.07408292101539654,-0.2113864040901274,-0.274082921015399,-0.2113864040901274,-0.274082921015399,0.21138640409012438,0.07408292101539654
4.74,0.10653324852965697,-0.012266736504988385,-0.10653324852965408,-0.18773326349500924,-0.10653324852965408,-0.18773326349500924,0.10653324852965697,-0.012266736504988385
4.75,4.997611207603401e-15,-0.09999999999999588,-2.0818995585505007e-15,-0.10000000000000173,-2.0818995585505007e-15,-0.10000000000000173,4.997611207603401e-15,-0.09999999999999588
4.76,-0.10653324852965305,-0.1877332634950084,0.10653324852964993,-0.012266736504994186,0.10653324852964993,-0.012266736504994186,-0.10653324852965305,-0.1877332634950084
4.7700000000000005,-0.21138640409013226,-0.27408292101540305,0.21138640409013507,0.07408292101540534,0.21138640409013507,0.07408292101540534,-0.21138640409013226,-0.27408292101540305
4.78,-0.31290586978197554,-0.3576871868792739,0.31290586978197826,0.15768718687927621,0.31290586978197826,0.15768718687927621,-0.31290586978197554,-0.3576871868792739
4.79,-0.4094906229864567,-0.43722757187119965,0.409490622986454,0.2372275718711974,0.409490622986454,0.2372275718711974,-0.4094906229864567,-0.43722757187119965
4.8,-0.49961746444860056,-0.5114496766047298,0.4996174644486029,0.3114496766047318,0.4996174644486029,0.3114496766047318,-0.49961746444860056,-0.5114496766047298
4.8100000000000005,-0.5818650400393879,-0.5791829741500841,0.58186504003939,0.37918297415008584,0.58186504003939,0.37918297415008584,-0.5818650400393879,-0.5791829741500841
4.82,-0.6549362563594227,-0.6393592699430539,0.6549362563594207,0.4393592699430523,0.6549362563594207,0.4393592699430523,-0.6549362563594227,-0.6393592699430539
4.83,-0.7176787366767107,-0.6910295478514088,0.7176787366767091,0.4910295478514075,0.7176787366767091,0.4910295478514075,-0.7176787366767107,-0.6910295478514088
4.84,-0.7691029945961148,-0.7333789367262121,0.769102994596116,0.5333789367262132,0.769102994596116,0.5333789367262132,-0.7691029945961148,-0.7333789367262121
4.8500000000000005,-0.8083980388508809,-0.7657395614066077,0.8083980388508817,0.5657395614066084,0.8083980388508817,0.5657395614066084,-0.8083980388508809,-0.7657395614066077
4.86,-0.8349441631193854,-0.7876010755100821,0.8349441631193848,0.5876010755100817,0.8349441631193848,0.5876010755100817,-0.8349441631193854,-0.7876010755100821
4.87,-0.8483227191640308,-0.79861870989979,0.848322719164031,0.5986187098997903,0.848322719164031,0.5986187098997903,-0.8483227191640308,-0.79861870989979
4.88,-0.8483227191640309,-0.7986187098997901,0.8483227191640311,0.5986187098997903,0.8483227191640311,0.5986187098997903,-0.8483227191640309,-0.7986187098997901
4.89,-0.8349441631193867,-0.7876010755100832,0.8349441631193874,0.5876010755100837,0.8349441631193874,0.5876010755100837,-0.8349441631193867,-0.7876010755100832
4.9,-0.8083980388508792,-0.7657395614066064,0.8083980388508784,0.5657395614066058,0.8083980388508784,0.5657395614066058,-0.8083980388508792,-0.7657395614066064
4.91,-0.7691029945961178,-0.7333789367262146,0.7691029945961164,0.5333789367262135,0.7691029945961164,0.5333789367262135,-0.7691029945961178,-0.7333789367262146
4.92,-0.7176787366767146,-0.691029547851412,0.7176787366767162,0.4910295478514133,0.7176787366767162,0.4910295478514133,-0.7176787366767146,-0.691029547851412
4.93,-0.6549362563594233,-0.6393592699430545,0.6549362563594214,0.43935926994305297,0.6549362563594214,0.43935926994305297,-0.6549362563594233,-0.6393592699430545
4.94,-0.5818650400393842,-0.579182974150081,0.5818650400393821,0.3791829741500794,0.5818650400393821,0.3791829741500794,-0.5818650400393842,-0.579182974150081
4.95,-0.4996174644486014,-0.5114496766047305,0.49961746444860383,0.31144967660473255,0.49961746444860383,0.31144967660473255,-0.4996174644486014,-0.5114496766047305
4.96,-0.40949062298645766,-0.4372275718712004,0.4094906229864551,0.23722757187119828,0.4094906229864551,0.23722757187119828,-0.40949062298645766,-0.4372275718712004
4.97,-0.31290586978198215,-0.35768718687927936,0.3129058697819794,0.1576871868792771,0.3129058697819794,0.1576871868792771,-0.31290586978198215,-0.35768718687927936
4.98,-0.21138640409012155,-0.2740829210153942,0.2113864040901246,0.07408292101539671,0.2113864040901246,0.07408292101539671,-0.21138640409012155,-0.2740829210153942
4.99,-0.10653324852966008,-0.18773326349501418,0.10653324852966317,-0.012266736504983278,0.10653324852966317,-0.012266736504983278,-0.10653324852966008,-0.18773326349501418
5.0,-2.0818995585505007e-15,-0.10000000000000173,-8.338120905024003e-16,-0.10000000000000069,-8.338120905024003e-16,-0.10000000000000069,-2.0818995585505007e-15,-0.10000000000000173
5.01,0.10653324852965593,-0.012266736504989245,-0.10653324852965283,-0.18773326349500824,-0.10653324852965283,-0.18773326349500824,0.10653324852965593,-0.012266736504989245
5.0200000000000005,0.2113864040901292,0.07408292101540051,-0.21138640409012618,-0.27408292101539805,-0.21138640409012618,-0.27408292101539805,0.2113864040901292,0.07408292101540051
5.03,0.31290586978197826,0.15768718687927621,-0.3129058697819809,-0.3576871868792785,-0.3129058697819809,-0.3576871868792785,0.31290586978197826,0.15768718687927621
5.04,0.409490622986454,0.2372275718711974,-0.40949062298645655,-0.43722757187119954,-0.40949062298645655,-0.43722757187119954,0.409490622986454,0.2372275718711974
5.05,0.499617464448598,0.3114496766047278,-0.49961746444859545,-0.5114496766047256,-0.49961746444859545,-0.5114496766047256,0.499617464448598,0.3114496766047278
5.0600000000000005,0.5818650400393856,0.3791829741500822,-0.5818650400393833,-0.5791829741500804,-0.5818650400393833,-0.5791829741500804,0.5818650400393856,0.3791829741500822
5.07,0.6549362563594207,0.4393592699430523,-0.6549362563594224,-0.6393592699430537,-0.6549362563594224,-0.6393592699430537,0.6549362563594207,0.4393592699430523
5.08,0.7176787366767123,0.4910295478514102,-0.7176787366767107,-0.6910295478514087,-0.7176787366767107,-0.6910295478514087,0.7176787366767123,0.4910295478514102
5.09,0.769102994596116,0.5333789367262132,-0.7691029945961172,-0.7333789367262141,-0.7691029945961172,-0.7333789367262141,0.769102994596116,0.5333789367262132
5.1000000000000005,0.8083980388508817,0.5657395614066084,-0.8083980388508827,-0.7657395614066091,-0.8083980388508827,-0.7657395614066091,0.8083980388508817,0.5657395614066084
5.11,0.8349441631193848,0.5876010755100817,-0.8349441631193854,-0.7876010755100821,-0.8349441631193854,-0.7876010755100821,0.8349441631193848,0.5876010755100817
5.12,0.848322719164031,0.5986187098997903,-0.8483227191640312,-0.7986187098997903,-0.8483227191640312,-0.7986187098997903,0.848322719164031,0.5986187098997903
5.13,0.8483227191640311,0.5986187098997903,-0.8483227191640309,-0.7986187098997901,-0.8483227191640309,-0.7986187098997901,0.8483227191640311,0.5986187098997903
5.14,0.8349441631193874,0.5876010755100837,-0.8349441631193868,-0.7876010755100832,-0.8349441631193868,-0.7876010755100832,0.8349441631193874,0.5876010755100837
5.15,0.8083980388508784,0.5657395614066058,-0.8083980388508775,-0.7657395614066049,-0.8083980388508775,-0.7657395614066049,0.8083980388508784,0.5657395614066058
5.16,0.7691029945961164,0.5333789367262135,-0.7691029945961152,-0.7333789367262125,-0.7691029945961152,-0.7333789367262125,0.7691029945961164,0.5333789367262135
5.17,0.7176787366767162,0.4910295478514133,-0.7176787366767147,-0.691029547851412,-0.7176787366767147,-0.691029547851412,0.7176787366767162,0.4910295478514133
5.18,0.6549362563594214,0.43935926994305297,-0.6549362563594197,-0.6393592699430514,-0.6549362563594197,-0.6393592699430514,0.6549362563594214,0.43935926994305297
5.19,0.5818650400393821,0.3791829741500794,-0.5818650400393799,-0.5791829741500776,-0.5818650400393799,-0.5791829741500776,0.5818650400393821,0.3791829741500794
5.2,0.49961746444860383,0.31144967660473255,-0.4996174644486015,-0.5114496766047306,-0.4996174644486015,-0.5114496766047306,0.49961746444860383,0.31144967660473255
5.21,0.4094906229864551,0.23722757187119828,-0.40949062298645256,-0.4372275718711962,-0.40949062298645256,-0.4372275718711962,0.4094906229864551,0.23722757187119828
5.22,0.3129058697819794,0.1576871868792771,-0.3129058697819767,-0.3576871868792749,-0.3129058697819767,-0.3576871868792749,0.3129058697819794,0.1576871868792771
5.23,0.2113864040901246,0.07408292101539671,-0.21138640409012177,-0.2740829210153944,-0.21138640409012177,-0.2740829210153944,0.2113864040901246,0.07408292101539671
5.24,0.10653324852966317,-0.012266736504983278,-0.10653324852966027,-0.18773326349501435,-0.10653324852966027,-0.18773326349501435,0.10653324852966317,-0.012266736504983278
5.25,-8.338120905024003e-16,-0.10000000000000069,3.7495237395553005e-15,-0.09999999999999691,3.7495237395553005e-15,-0.09999999999999691,-8.338120905024003e-16,-0.10000000000000069
5.26,-0.10653324852965283,-0.18773326349500824,0.10653324852965573,-0.012266736504989398,0.10653324852965573,-0.012266736504989398,-0.10653324852965283,-0.18773326349500824
5.2700000000000005,-0.21138640409012618,-0.27408292101539805,0.21138640409012902,0.07408292101540037,0.21138640409012902,0.07408292101540037,-0.21138640409012618,-0.27408292101539805
5.28,-0.3129058697819809,-0.3576871868792785,0.3129058697819837,0.15768718687928066,0.3129058697819837,0.15768718687928066,-0.3129058697819809,-0.3576871868792785
5.29,-0.40949062298645655,-0.43722757187119954,0.40949062298645916,0.2372275718712016,0.40949062298645916,0.2372275718712016,-0.40949062298645655,-0.43722757187119954
